,comparison,number_of_papers,number_of_contributions,number_of_related_resources,number_of_related_figures,research_field,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
0,http://orkg.org/orkg/resource/R107854,4,4,0,0,Learner-Interface Interaction,26.0,51.0,4.0,1.0,1.0,26.0,5.0
1,http://orkg.org/orkg/resource/R108358,12,12,0,0,Geology,555.0,732.0,79.0,378.0,78.0,555.0,29.0
2,http://orkg.org/orkg/resource/R108601,4,4,0,0,Digital Communications and Networking,28.0,32.0,4.0,24.0,4.0,28.0,7.0
3,http://orkg.org/orkg/resource/R108719,3,3,0,0,Plant Pathology,51.0,55.0,3.0,47.0,3.0,51.0,19.0
4,http://orkg.org/orkg/resource/R109041,9,9,0,0,"Atomic, Molecular and Optical Physics",135.0,144.0,9.0,126.0,9.0,135.0,18.0
5,http://orkg.org/orkg/resource/R109236,5,5,0,0,Geology,86.0,109.0,16.0,63.0,16.0,86.0,15.0
6,http://orkg.org/orkg/resource/R109546,4,4,0,0,Industrial and Organizational Psychology,64.0,88.0,5.0,40.0,5.0,64.0,12.0
7,http://orkg.org/orkg/resource/R109612,10,10,0,0,Oceanography,170.0,180.0,10.0,160.0,10.0,170.0,17.0
8,http://orkg.org/orkg/resource/R109904,12,12,0,0,Information Science,48.0,61.0,12.0,35.0,12.0,48.0,4.0
9,http://orkg.org/orkg/resource/R110071,4,4,0,0,Biomedical Engineering and Bioengineering,36.0,42.0,4.0,30.0,4.0,36.0,9.0
10,http://orkg.org/orkg/resource/R110124,4,4,0,0,Robotics,51.0,77.0,5.0,25.0,5.0,51.0,9.0
11,http://orkg.org/orkg/resource/R110138,3,3,0,0,Energy Systems,44.0,47.0,3.0,41.0,3.0,44.0,9.0
12,http://orkg.org/orkg/resource/R110188,3,3,0,0,Public Administration,16.0,19.0,3.0,13.0,3.0,16.0,5.0
13,http://orkg.org/orkg/resource/R110245,3,3,0,0,Public Administration,16.0,19.0,3.0,13.0,3.0,16.0,5.0
14,http://orkg.org/orkg/resource/R110361,7,8,0,0,Place and Environment,76.0,124.0,9.0,28.0,8.0,76.0,15.0
15,http://orkg.org/orkg/resource/R110651,2,2,0,0,Urban Studies and Planning,24.0,28.0,4.0,20.0,4.0,24.0,18.0
16,http://orkg.org/orkg/resource/R110655,6,6,0,0,Immunology of Infectious Disease,57.0,86.0,8.0,28.0,8.0,57.0,15.0
17,http://orkg.org/orkg/resource/R110777,3,3,0,0,Analysis,15.0,19.0,3.0,11.0,3.0,15.0,5.0
18,http://orkg.org/orkg/resource/R110991,5,5,0,0,Virology,35.0,40.0,5.0,30.0,5.0,35.0,7.0
19,http://orkg.org/orkg/resource/R111117,3,3,0,0,Food Processing,18.0,22.0,3.0,14.0,3.0,18.0,6.0
20,http://orkg.org/orkg/resource/R111151,3,3,0,0,Comparative Politics,12.0,18.0,3.0,6.0,3.0,12.0,5.0
21,http://orkg.org/orkg/resource/R111154,2,2,0,0,Computer Engineering,47.0,57.0,5.0,37.0,5.0,47.0,29.0
22,http://orkg.org/orkg/resource/R112387,19,19,0,0,Software Engineering,609.0,820.0,200.0,398.0,94.0,609.0,12.0
23,http://orkg.org/orkg/resource/R113089,8,8,0,0,Information Science,34.0,67.0,9.0,1.0,1.0,34.0,6.0
24,http://orkg.org/orkg/resource/R114155,27,27,0,0,Software Engineering,503.0,683.0,178.0,323.0,151.0,503.0,17.0
25,http://orkg.org/orkg/resource/R137151,8,8,0,0,Geology,192.0,202.0,8.0,182.0,8.0,192.0,20.0
26,http://orkg.org/orkg/resource/R137164,8,8,0,0,Geology,192.0,202.0,8.0,182.0,8.0,192.0,20.0
27,http://orkg.org/orkg/resource/R137469,27,29,0,0,Applied Physics,247.0,276.0,29.0,218.0,29.0,247.0,9.0
28,http://orkg.org/orkg/resource/R138179,8,8,0,0,Planetary Sciences,235.0,243.0,8.0,227.0,8.0,235.0,20.0
29,http://orkg.org/orkg/resource/R138373,8,8,0,0,Oceanography,129.0,137.0,8.0,121.0,8.0,129.0,22.0
30,http://orkg.org/orkg/resource/R138393,6,6,0,0,Planetary Sciences,217.0,223.0,6.0,211.0,6.0,217.0,29.0
31,http://orkg.org/orkg/resource/R138418,6,6,0,0,Oceanography,99.0,105.0,6.0,93.0,6.0,99.0,22.0
